Product,Issue,Company,State,ZIP code,Complaint ID
Checking or savings account,Managing an account,NAVY FEDERAL CREDIT UNION,FL,328XX,3238275
Checking or savings account,Managing an account,BOEING EMPLOYEES CREDIT UNION,WA,98204,3238228
Debt collection,Communication tactics,CURO Intermediate Holdings,TX,751XX,3237964
Credit reporting credit repair services or other personal consumer reports,Incorrect information on your report,Ad Astra Recovery Services Inc,LA,708XX,3238479
Checking or savings account,Managing an account,ALLY FINANCIAL INC,AZ,85205,3238460
Mortgage,Closing on a mortgage,Statebridge Company,NJ,08302,3237885
Debt collection,Attempts to collect debt not owed,Diversified Consultants Inc,TX,nan,3238585
Student loan,Struggling to repay your loan,Student Loan Direct,TX,773XX,3238221
Debt collection,Attempts to collect debt not owed,Diversified Consultants Inc,SC,296XX,3238545
Credit reporting credit repair services or other personal consumer reports,Incorrect information on your report,CONTRACT CALLERS INC,MD,20774,3238458
Vehicle loan or lease,Struggling to pay your loan,ALLY FINANCIAL INC,NV,891XX,3238036
Debt collection,False statements or representation,MiraMed Revenue Group LLC,VA,23156,3237941
Debt collection,Attempts to collect debt not owed,Ad Astra Recovery Services Inc,TX,nan,3238461
Debt collection,False statements or representation,Commonwealth Financial Systems Inc,TX,774XX,3237971
Credit reporting credit repair services or other personal consumer reports,Problem with a credit reporting companys investigation into an existing problem,ALLY FINANCIAL INC,TX,774XX,3237837
Debt collection,Took or threatened to take negative or legal action,NAVY FEDERAL CREDIT UNION,FL,346XX,3237928
Debt collection,Communication tactics,MERCANTILE ADJUSTMENT BUREAU LLC,NY,14609,3238682
Debt collection,Attempts to collect debt not owed,HCFS Health Care Financial Services Inc,AZ,852XX,3237088
Student loan,Dealing with your lender or servicer,National Collection Systems Inc,GA,nan,3236907
Checking or savings account,Managing an account,ALLY FINANCIAL INC,CO,81302,3237160
Debt collection,False statements or representation,Diversified Consultants Inc,NJ,087XX,3236983
Debt collection,False statements or representation,ALLY FINANCIAL INC,MI,48185,3237404
Debt collection,Written notification about debt,Weltman Weinberg  Reis Co LPA,OH,432XX,3236857
